[I 240812 10:54:51 API:64] on open
[I 240812 10:54:51 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6139525, 'exchange_timestamp': 1723440291000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
[I 240812 10:54:52 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6140123, 'exchange_timestamp': 1723440292000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
[I 240812 10:54:53 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6141124, 'exchange_timestamp': 1723440293000, 'last_traded_price': 2394, 'subscription_mode_val': 'LTP'}
[I 240812 10:54:54 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6142245, 'exchange_timestamp': 1723440294000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
[I 240812 10:54:55 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6143215, 'exchange_timestamp': 1723440295000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
[I 240812 10:54:56 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6144209, 'exchange_timestamp': 1723440296000, 'last_traded_price': 2394, 'subscription_mode_val': 'LTP'}
[I 240812 10:54:57 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6145115, 'exchange_timestamp': 1723440297000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
[I 240812 10:54:57 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6145730, 'exchange_timestamp': 1723440297000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:54:58 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6146092, 'exchange_timestamp': 1723440298000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:54:59 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6147119, 'exchange_timestamp': 1723440299000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:00 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6148364, 'exchange_timestamp': 1723440300000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
